repeat,model,scenario,profile,phase,attempts,eligible,violations,errors,not_observed,coverage,violation_rate,successful_mr_reads,mr_read_regressions,eligible_workload_p50_ms,eligible_workload_p95_ms,folder
2,mr,partition,majority,fault,399,398,0,1,0,0.9974937343358395,0.0,796,0,12.604,16.29,20260918T143023Z_ad8425bf_mr_partition_majority
2,mr,partition,majority,recovery,401,401,0,0,0,1.0,0.0,802,0,12.783,14.475,20260918T143023Z_ad8425bf_mr_partition_majority
2,mw,partition,causal,overall,1000,999,0,1,0,0.999,0.0,0,0,16.765,20.963,20260918T143115Z_e9c1f211_mw_partition_causal
2,mw,partition,causal,normal,199,199,0,0,0,1.0,0.0,0,0,16.442,18.338,20260918T143115Z_e9c1f211_mw_partition_causal
2,mw,partition,causal,transition,1,0,0,1,0,0.0,,0,0,,,20260918T143115Z_e9c1f211_mw_partition_causal
2,mw,partition,causal,fault,399,399,0,0,0,1.0,0.0,0,0,17.137,32.119,20260918T143115Z_e9c1f211_mw_partition_causal
2,mw,partition,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,16.689,19.841,20260918T143115Z_e9c1f211_mw_partition_causal
2,wfr,partition,majority,overall,1000,999,0,1,0,0.999,0.0,0,0,20.076,23.334,20260918T143212Z_1b71fc0b_wfr_partition_majority
2,wfr,partition,majority,normal,199,199,0,0,0,1.0,0.0,0,0,19.921,23.491,20260918T143212Z_1b71fc0b_wfr_partition_majority
2,wfr,partition,majority,transition,1,0,0,1,0,0.0,,0,0,,,20260918T143212Z_1b71fc0b_wfr_partition_majority
2,wfr,partition,majority,fault,399,399,0,0,0,1.0,0.0,0,0,20.493,24.356,20260918T143212Z_1b71fc0b_wfr_partition_majority
2,wfr,partition,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,19.769,22.249,20260918T143212Z_1b71fc0b_wfr_partition_majority
2,ryw,normal,weak,overall,1000,1000,7,0,0,1.0,0.007,0,0,6.113,7.113,20260918T143307Z_0b0d450e_ryw_normal_weak
2,ryw,normal,weak,normal,1000,1000,7,0,0,1.0,0.007,0,0,6.113,7.113,20260918T143307Z_0b0d450e_ryw_normal_weak
2,mr,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,2000,0,12.896,14.608,20260918T143316Z_2f91aaaa_mr_normal_causal
2,mr,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,2000,0,12.896,14.608,20260918T143316Z_2f91aaaa_mr_normal_causal
2,mr,partition,causal,overall,1000,999,0,1,0,0.999,0.0,1998,0,13.267,15.814,20260918T143331Z_10bb9f0b_mr_partition_causal
2,mr,partition,causal,normal,199,199,0,0,0,1.0,0.0,398,0,13.275,15.472,20260918T143331Z_10bb9f0b_mr_partition_causal
2,mr,partition,causal,transition,1,1,0,0,0,1.0,0.0,2,0,16.098,16.098,20260918T143331Z_10bb9f0b_mr_partition_causal
2,mr,partition,causal,fault,399,398,0,1,0,0.9974937343358395,0.0,796,0,13.499,17.434,20260918T143331Z_10bb9f0b_mr_partition_causal
2,mr,partition,causal,recovery,401,401,0,0,0,1.0,0.0,802,0,13.166,14.699,20260918T143331Z_10bb9f0b_mr_partition_causal
2,wfr,partition,causal,overall,1000,999,0,1,0,0.999,0.0,0,0,20.052,23.67,20260918T143424Z_b116b500_wfr_partition_causal
2,wfr,partition,causal,normal,199,199,0,0,0,1.0,0.0,0,0,19.577,21.75,20260918T143424Z_b116b500_wfr_partition_causal
2,wfr,partition,causal,transition,1,0,0,1,0,0.0,,0,0,,,20260918T143424Z_b116b500_wfr_partition_causal
2,wfr,partition,causal,fault,399,399,0,0,0,1.0,0.0,0,0,20.396,25.007,20260918T143424Z_b116b500_wfr_partition_causal
2,wfr,partition,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,20.104,22.924,20260918T143424Z_b116b500_wfr_partition_causal
2,ryw,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,9.81,12.09,20260918T143522Z_dc375585_ryw_normal_causal
2,ryw,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,9.81,12.09,20260918T143522Z_dc375585_ryw_normal_causal
2,mr,failure,majority,overall,1000,1000,2,0,0,1.0,0.002,2000,2,13.025,15.467,20260918T143534Z_193bffea_mr_failure_majority
2,mr,failure,majority,normal,199,199,2,0,0,1.0,0.010050251256281407,398,2,13.47,15.971,20260918T143534Z_193bffea_mr_failure_majority
2,mr,failure,majority,transition,1,1,0,0,0,1.0,0.0,2,0,18.307,18.307,20260918T143534Z_193bffea_mr_failure_majority
2,mr,failure,majority,fault,399,399,0,0,0,1.0,0.0,798,0,13.14,15.976,20260918T143534Z_193bffea_mr_failure_majority
2,mr,failure,majority,recovery,401,401,0,0,0,1.0,0.0,802,0,12.813,14.772,20260918T143534Z_193bffea_mr_failure_majority
3,mw,failure,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,16.563,19.786,20260918T143559Z_5089a2d5_mw_failure_majority
3,mw,failure,majority,normal,199,199,0,0,0,1.0,0.0,0,0,16.461,18.105,20260918T143559Z_5089a2d5_mw_failure_majority
3,mw,failure,majority,transition,1,1,0,0,0,1.0,0.0,0,0,558.742,558.742,20260918T143559Z_5089a2d5_mw_failure_majority
3,mw,failure,majority,fault,399,399,0,0,0,1.0,0.0,0,0,16.976,21.783,20260918T143559Z_5089a2d5_mw_failure_majority
3,mw,failure,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,16.443,19.205,20260918T143559Z_5089a2d5_mw_failure_majority
3,mr,failure,weak,overall,1000,1000,4,0,0,1.0,0.004,2000,4,9.54,10.99,20260918T143627Z_ec7b5cab_mr_failure_weak
3,mr,failure,weak,normal,199,199,0,0,0,1.0,0.0,398,0,9.207,10.444,20260918T143627Z_ec7b5cab_mr_failure_weak
3,mr,failure,weak,transition,1,1,0,0,0,1.0,0.0,2,0,19.327,19.327,20260918T143627Z_ec7b5cab_mr_failure_weak
3,mr,failure,weak,fault,399,399,4,0,0,1.0,0.010025062656641603,798,4,9.723,11.384,20260918T143627Z_ec7b5cab_mr_failure_weak
3,mr,failure,weak,recovery,401,401,0,0,0,1.0,0.0,802,0,9.546,10.703,20260918T143627Z_ec7b5cab_mr_failure_weak
3,wfr,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.801,23.14,20260918T143648Z_f4ce5449_wfr_failure_causal
3,wfr,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,19.963,23.955,20260918T143648Z_f4ce5449_wfr_failure_causal
3,wfr,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,549.832,549.832,20260918T143648Z_f4ce5449_wfr_failure_causal
3,wfr,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,20.351,23.412,20260918T143648Z_f4ce5449_wfr_failure_causal
3,wfr,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,19.247,21.361,20260918T143648Z_f4ce5449_wfr_failure_causal
3,wfr,partition,weak,overall,1000,987,0,1,12,0.987,0.0,0,0,29.555,113.603,20260918T143720Z_a4eb0e09_wfr_partition_weak
3,wfr,partition,weak,normal,199,199,0,0,0,1.0,0.0,0,0,28.559,30.257,20260918T143720Z_a4eb0e09_wfr_partition_weak
3,wfr,partition,weak,transition,1,0,0,1,0,0.0,,0,0,,,20260918T143720Z_a4eb0e09_wfr_partition_weak
3,wfr,partition,weak,fault,399,387,0,0,12,0.9699248120300752,0.0,0,0,101.21,115.543,20260918T143720Z_a4eb0e09_wfr_partition_weak
3,wfr,partition,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,28.641,31.248,20260918T143720Z_a4eb0e09_wfr_partition_weak
3,wfr,failure,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.915,23.102,20260918T143855Z_c83875e0_wfr_failure_majority
3,wfr,failure,majority,normal,199,199,0,0,0,1.0,0.0,0,0,19.68,21.905,20260918T143855Z_c83875e0_wfr_failure_majority
