model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
wfr,failure,weak,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,200.854,,1,200.854,,1
wfr,normal,causal,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,19.668,,1,38.23,,1
wfr,normal,causal,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,19.668,,1,38.23,,1
wfr,normal,majority,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,21.682,,1,23.23,,1
wfr,normal,majority,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,21.682,,1,23.23,,1
wfr,normal,weak,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,28.016,,1,47.193,,1
wfr,normal,weak,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,28.016,,1,47.193,,1
wfr,partition,causal,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,4000.05,,1,4002.399,,1
wfr,partition,causal,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,19.93,,1,45.238,,1
wfr,partition,causal,overall,1,30,29,0,1,0,0,0,0.0,,1,0.9666666666666667,,1,22.502,,1,4001.849,,1
wfr,partition,causal,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,21.735,,1,24.47,,1
wfr,partition,causal,transition,1,1,0,0,1,0,0,0,,,0,0.0,,1,,,0,,,0
wfr,partition,majority,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,3996.916,,1,4006.51,,1
wfr,partition,majority,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,20.529,,1,66.339,,1
wfr,partition,majority,overall,1,30,29,0,1,0,0,0,0.0,,1,0.9666666666666667,,1,23.745,,1,4003.891,,1
wfr,partition,majority,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,23.411,,1,29.523,,1
wfr,partition,majority,transition,1,1,0,0,1,0,0,0,,,0,0.0,,1,,,0,,,0
wfr,partition,weak,fault,1,9,4,0,0,5,0,0,0.0,,1,0.4444444444444444,,1,990.557,,1,1000.083,,1
wfr,partition,weak,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,29.116,,1,60.536,,1
wfr,partition,weak,overall,1,30,21,0,1,8,0,0,0.0,,1,0.7,,1,70.13,,1,998.765,,1
wfr,partition,weak,recovery,1,11,8,0,0,3,0,0,0.0,,1,0.7272727272727273,,1,287.103,,1,632.681,,1
wfr,partition,weak,transition,1,1,0,0,1,0,0,0,,,0,0.0,,1,,,0,,,0
